,day,get_wet_cycling
0,2018-01-01,True
1,2018-01-02,True
2,2018-01-03,True
3,2018-01-04,True
4,2018-01-05,True
5,2018-01-06,True
6,2018-01-07,True
7,2018-01-08,True
8,2018-01-09,True
9,2018-01-10,True
10,2018-01-11,True
11,2018-01-12,True
12,2018-01-13,True
13,2018-01-14,True
14,2018-01-15,True
15,2018-01-16,True
16,2018-01-17,True
17,2018-01-18,True
18,2018-01-19,True
19,2018-01-20,True
20,2018-01-21,True
21,2018-01-22,True
22,2018-01-23,True
23,2018-01-24,True
24,2018-01-25,True
25,2018-01-26,True
26,2018-01-27,True
27,2018-01-28,True
28,2018-01-29,True
29,2018-01-30,True
30,2018-01-31,True
31,2018-02-01,True
32,2018-02-02,True
33,2018-02-03,True
34,2018-02-04,True
35,2018-02-05,True
36,2018-02-06,True
37,2018-02-07,True
38,2018-02-08,True
39,2018-02-09,True
40,2018-02-10,True
41,2018-02-11,True
42,2018-02-12,True
43,2018-02-13,True
44,2018-02-14,True
45,2018-02-15,True
46,2018-02-16,True
47,2018-02-17,True
48,2018-02-18,True
49,2018-02-19,True
50,2018-02-20,True
51,2018-02-21,True
52,2018-02-22,True
53,2018-02-23,True
54,2018-02-24,True
55,2018-02-25,True
56,2018-02-26,True
57,2018-02-27,True
58,2018-02-28,True
59,2018-03-01,True
60,2018-03-02,True
61,2018-03-03,True
62,2018-03-04,True
63,2018-03-05,True
64,2018-03-06,True
65,2018-03-07,True
66,2018-03-08,True
67,2018-03-09,True
68,2018-03-10,True
69,2018-03-11,True
70,2018-03-12,True
71,2018-03-13,True
72,2018-03-14,True
73,2018-03-15,True
74,2018-03-16,True
75,2018-03-17,True
76,2018-03-18,True
77,2018-03-19,True
78,2018-03-20,True
79,2018-03-21,True
80,2018-03-22,True
81,2018-03-23,True
82,2018-03-24,True
83,2018-03-25,True
84,2018-03-26,True
85,2018-03-27,True
86,2018-03-28,True
87,2018-03-29,True
88,2018-03-30,True
89,2018-03-31,True
90,2018-04-01,True
91,2018-04-02,True
92,2018-04-03,True
93,2018-04-04,True
94,2018-04-05,True
95,2018-04-06,True
96,2018-04-07,True
97,2018-04-08,True
98,2018-04-09,True
99,2018-04-10,True
100,2018-04-11,True
101,2018-04-12,True
102,2018-04-13,True
103,2018-04-14,True
104,2018-04-15,True
105,2018-04-16,True
106,2018-04-17,True
107,2018-04-18,True
108,2018-04-19,True
109,2018-04-20,True
110,2018-04-21,True
111,2018-04-22,True
112,2018-04-23,True
113,2018-04-24,True
114,2018-04-25,True
115,2018-04-26,True
116,2018-04-27,True
117,2018-04-28,True
118,2018-04-29,True
119,2018-04-30,True
120,2018-05-01,True
121,2018-05-02,True
122,2018-05-03,True
123,2018-05-04,True
124,2018-05-05,True
125,2018-05-06,True
126,2018-05-07,True
127,2018-05-08,True
128,2018-05-09,True
129,2018-05-10,True
130,2018-05-11,True
131,2018-05-12,True
132,2018-05-13,True
133,2018-05-14,True
134,2018-05-15,True
135,2018-05-16,True
136,2018-05-17,True
137,2018-05-18,True
138,2018-05-19,True
139,2018-05-20,True
140,2018-05-21,True
141,2018-05-22,True
142,2018-05-23,True
143,2018-05-24,True
144,2018-05-25,True
145,2018-05-26,True
146,2018-05-27,True
147,2018-05-28,True
148,2018-05-29,True
149,2018-05-30,True
150,2018-05-31,True
151,2018-06-01,True
152,2018-06-02,True
153,2018-06-03,True
154,2018-06-04,True
155,2018-06-05,True
156,2018-06-06,True
157,2018-06-07,True
158,2018-06-08,True
159,2018-06-09,True
160,2018-06-10,True
161,2018-06-11,True
162,2018-06-12,True
163,2018-06-13,True
164,2018-06-14,True
165,2018-06-15,True
166,2018-06-16,True
167,2018-06-17,True
168,2018-06-18,True
169,2018-06-19,True
170,2018-06-20,True
171,2018-06-21,True
172,2018-06-22,True
173,2018-06-23,True
174,2018-06-24,True
175,2018-06-25,True
176,2018-06-26,True
177,2018-06-27,True
178,2018-06-28,True
179,2018-06-29,True
180,2018-06-30,True
181,2018-07-01,True
182,2018-07-02,True
183,2018-07-03,True
184,2018-07-04,True
185,2018-07-05,True
186,2018-07-06,True
187,2018-07-07,True
188,2018-07-08,True
189,2018-07-09,True
190,2018-07-10,True
191,2018-07-11,True
192,2018-07-12,True
193,2018-07-13,True
194,2018-07-14,True
195,2018-07-15,True
196,2018-07-16,True
197,2018-07-17,True
198,2018-07-18,True
199,2018-07-19,True
200,2018-07-20,True
201,2018-07-21,True
202,2018-07-22,True
203,2018-07-23,True
204,2018-07-24,True
205,2018-07-25,True
206,2018-07-26,True
207,2018-07-27,True
208,2018-07-28,True
209,2018-07-29,True
210,2018-07-30,True
211,2018-07-31,True
212,2018-08-01,True
213,2018-08-02,True
214,2018-08-03,True
215,2018-08-04,True
216,2018-08-05,True
217,2018-08-06,True
218,2018-08-07,True
219,2018-08-08,True
220,2018-08-09,True
221,2018-08-10,True
222,2018-08-11,True
223,2018-08-12,True
224,2018-08-13,True
225,2018-08-14,True
226,2018-08-15,True
227,2018-08-16,True
228,2018-08-17,True
229,2018-08-18,True
230,2018-08-19,True
231,2018-08-20,True
232,2018-08-21,True
233,2018-08-22,True
234,2018-08-23,True
235,2018-08-24,True
236,2018-08-25,True
237,2018-08-26,True
238,2018-08-27,True
239,2018-08-28,True
240,2018-08-29,True
241,2018-08-30,True
242,2018-08-31,True
243,2018-09-01,True
244,2018-09-02,True
245,2018-09-03,True
246,2018-09-04,True
247,2018-09-05,True
248,2018-09-06,True
249,2018-09-07,True
250,2018-09-08,True
251,2018-09-09,True
252,2018-09-10,True
253,2018-09-11,True
254,2018-09-12,True
255,2018-09-13,True
256,2018-09-14,True
257,2018-09-15,True
258,2018-09-16,True
259,2018-09-17,True
260,2018-09-18,True
261,2018-09-19,True
262,2018-09-20,True
263,2018-09-21,True
264,2018-09-22,True
265,2018-09-23,True
266,2018-09-24,True
267,2018-09-25,True
268,2018-09-26,True
269,2018-09-27,True
270,2018-09-28,True
271,2018-09-29,True
272,2018-09-30,True
273,2018-10-01,True
274,2018-10-02,True
275,2018-10-03,True
276,2018-10-04,True
277,2018-10-05,True
278,2018-10-06,True
279,2018-10-07,True
280,2018-10-08,True
281,2018-10-09,True
282,2018-10-10,True
283,2018-10-11,True
284,2018-10-12,True
285,2018-10-13,True
286,2018-10-14,True
287,2018-10-15,True
288,2018-10-16,True
289,2018-10-17,True
290,2018-10-18,True
291,2018-10-19,True
292,2018-10-20,True
293,2018-10-21,True
294,2018-10-22,True
295,2018-10-23,True
296,2018-10-24,True
297,2018-10-25,True
298,2018-10-26,True
299,2018-10-27,True
300,2018-10-28,True
301,2018-10-29,True
302,2018-10-30,True
303,2018-10-31,True
304,2018-11-01,True
305,2018-11-02,True
306,2018-11-03,True
307,2018-11-04,True
308,2018-11-05,True
309,2018-11-06,True
310,2018-11-07,True
311,2018-11-08,True
312,2018-11-09,True
313,2018-11-10,True
314,2018-11-11,True
315,2018-11-12,True
316,2018-11-13,True
317,2018-11-14,True
318,2018-11-15,True
319,2018-11-16,True
320,2018-11-17,True
321,2018-11-18,True
322,2018-11-19,True
323,2018-11-20,True
324,2018-11-21,True
325,2018-11-22,True
326,2018-11-23,True
327,2018-11-24,True
328,2018-11-25,True
329,2018-11-26,True
330,2018-11-27,True
331,2018-11-28,True
332,2018-11-29,True
333,2018-11-30,True
334,2018-12-01,True
335,2018-12-02,True
336,2018-12-03,True
337,2018-12-04,True
338,2018-12-05,True
339,2018-12-06,True
340,2018-12-07,True
341,2018-12-08,True
342,2018-12-09,True
343,2018-12-10,True
344,2018-12-11,True
345,2018-12-12,True
346,2018-12-13,True
347,2018-12-14,True
348,2018-12-15,True
349,2018-12-16,True
350,2018-12-17,True
351,2018-12-18,True
352,2018-12-19,True
353,2018-12-20,True
